Multi-level Priority Algorithm (RR, 2xRR, FCFS),,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,29,29,77,17,0,49
102,32,4,44,44,92,17,0,49
103,27,5,101,101,127,0,0,27
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,190,196,0,0,7
107,23,5,225,225,257,10,0,33
108,45,6,238,238,292,10,0,55
109,56,3,270,293,348,23,23,79
110,45,4,306,349,393,43,43,88
111,51,8,355,394,444,39,39,90
112,24,5,397,446,513,93,49,117
113,43,4,408,445,890,440,37,483
114,37,4,451,452,724,237,1,274
115,30,1,477,514,571,65,37,95
116,44,3,521,521,613,49,0,93
117,58,3,557,558,661,47,1,105
118,69,4,587,665,1230,575,78,644
119,18,3,630,630,663,16,0,34
120,28,6,658,666,925,240,8,268
121,37,2,706,725,805,63,19,100
122,48,3,735,735,867,85,0,133
123,32,2,764,765,865,70,1,102
124,32,2,786,788,873,56,2,88
125,40,4,820,876,1100,241,56,281
126,22,5,862,877,1012,129,15,151
127,41,2,902,926,984,42,24,83
128,18,2,932,932,966,17,0,35
129,31,0,989,1013,1048,29,24,60
130,14,3,1039,1039,1057,5,0,19
131,60,3,1062,1101,1186,65,39,125
132,45,4,1089,1090,1286,153,1,198
133,26,3,1105,1105,1155,25,0,51
134,82,6,1152,1188,1444,211,36,293
135,3,6,1194,1196,1204,8,2,11
136,17,3,1235,1287,1307,56,52,73
137,12,3,1300,1300,1315,4,0,16
138,59,4,1308,1316,1604,238,8,297
139,48,5,1337,1338,1602,218,1,266
140,26,5,1379,1381,1494,90,2,116
141,8,3,1401,1445,1452,44,44,52
142,21,4,1417,1420,1595,158,3,179
143,23,3,1461,1496,1547,64,35,87
144,42,2,1493,1495,1579,45,2,87
145,20,3,1527,1528,1572,26,1,46
146,51,7,1562,3615,3665,2053,2053,2104
147,50,5,1600,1601,1678,29,1,79
148,22,4,1632,1632,1771,118,0,140
149,40,3,1642,1680,1758,77,38,117
150,48,3,1656,1679,1766,63,23,111
151,22,5,1664,1665,1835,150,1,172
152,43,5,1693,1768,2189,454,75,497
153,39,4,1724,1769,2047,285,45,324
154,65,4,1752,1770,2425,609,18,674
155,23,2,1776,1837,1881,83,61,106
156,48,2,1805,1836,1906,54,31,102
157,60,5,1835,1908,2628,734,73,794
158,38,4,1856,1910,2327,434,54,472
159,35,4,1905,1911,2270,331,6,366
160,17,1,1947,2048,2071,108,101,125
161,25,4,1974,1979,2321,323,5,348
162,13,4,2016,2022,2229,201,6,214
163,81,0,2058,2058,2145,7,0,88
164,38,5,2079,2152,2563,447,73,485
165,20,6,2104,2153,2361,238,49,258
166,46,5,2150,2158,2786,591,8,637
167,35,4,2200,2208,2635,401,8,436
168,31,0,2243,2271,2301,28,28,59
169,29,5,2284,2309,2668,356,25,385
170,34,5,2304,2312,3047,710,8,744
171,32,5,2324,2331,3039,684,7,716
172,68,5,2345,2353,3473,1061,8,1129
173,24,4,2356,2364,2677,298,8,322
174,49,4,2396,2405,3296,852,9,901
175,56,4,2445,2454,3461,961,9,1017
176,51,3,2484,2564,2614,80,80,131
177,14,4,2542,2552,3067,512,10,526
178,34,4,2573,2625,3332,726,52,760
179,43,5,2606,2626,3453,805,20,848
180,41,4,2629,2639,3395,726,10,767
181,51,3,2677,2678,2744,17,1,68
182,17,2,2713,2713,2745,16,0,33
183,43,3,2761,2787,2899,96,26,139
184,27,2,2792,2792,2859,41,0,68
185,56,3,2822,2823,3015,138,1,194
186,43,3,2844,2846,2994,108,2,151
187,50,3,2874,2876,3035,112,2,162
188,14,7,2910,3666,3679,756,756,770
189,33,0,2943,2945,3038,63,2,96
190,23,4,2980,3046,3244,242,66,265
191,39,4,3048,3055,3493,407,7,446
192,15,0,3102,3246,3274,158,144,173
193,46,4,3130,3137,3553,378,7,424
194,13,5,3175,3183,3358,171,8,184
195,52,4,3194,3203,3588,343,9,395
196,18,2,3240,3245,3277,20,5,38
197,22,1,3279,3297,3318,18,18,40
198,72,6,3322,3330,3614,221,8,293
199,35,6,3353,3360,3576,189,7,224
200,43,2,3388,3396,3438,8,8,51
,,,,,,,,
,,,,,Min,0,0,7
,,,,,Mean,231.54,47.63,267.38
,,,,,Max,2053,2053,2104
,,,,,StdDev,309.72,217.13,314.88
